Latitude and Longitude,Class of Land,vh,vv
"(9.959889754523841, 105.52508036003567)",Rice,"[[0.05059239640831947, 0.04686236381530762], [0.047297894954681396, 0.04928968474268913]]","[[0.08092120289802551, 0.13035088777542114], [0.06784287095069885, 0.07006750255823135]]"
"(9.972608161754321, 105.48874205366448)",Rice,"[[0.04574836790561676, 0.055954158306121826], [0.029871467500925064, 0.03434789925813675]]","[[0.1372820883989334, 0.17301253974437714], [0.12877130508422852, 0.13308534026145935]]"
"(9.966703186968742, 105.50009777440548)",Rice,"[[0.02844303846359253, 0.03509877249598503, 0.026093363761901855], [0.026290107518434525, 0.032197244465351105, 0.023101888597011566]]","[[0.04803764820098877, 0.051436714828014374, 0.04153408855199814], [0.05146753415465355, 0.048175789415836334, 0.03577260673046112]]"
"(9.966703186968742, 105.53189379248028)",Rice,"[[0.04953516647219658, 0.05324149504303932], [0.0328887403011322, 0.03876357898116112]]","[[0.07193884998559952, 0.06945885717868805], [0.06352381408214569, 0.07901908457279205]]"
"(9.987597713133102, 105.50509429153152)",Rice,"[[0.016231440007686615, 0.027176890522241592], [0.028860509395599365, 0.03790591284632683]]","[[0.1665239781141281, 0.13493973016738892], [0.15010517835617065, 0.1459786593914032]]"
"(9.9467171184637, 105.5241719023764)",Rice,"[[0.017406852915883064, 0.01498954277485609], [0.012975051999092102, 0.019015317782759666]]","[[0.10515269637107849, 0.1245107427239418], [0.048194754868745804, 0.07670437544584274]]"
"(9.982146967177181, 105.52780573301351)",Rice,"[[0.08756235986948013, 0.06501077860593796], [0.07607122510671616, 0.06065197288990021], [0.045840855687856674, 0.04571773484349251]]","[[0.11726263165473938, 0.09221488237380981], [0.1540846824645996, 0.09409517049789429], [0.15069836378097534, 0.0997188612818718]]"
"(9.984418111325482, 105.49146742664232)",Rice,"[[0.07525207847356796, 0.08402535319328308], [0.030133457854390144, 0.028898198157548904]]","[[0.10197102278470993, 0.13317184150218964], [0.12402617931365967, 0.10445486009120941]]"
"(9.977604678880581, 105.52462613120602)",Rice,"[[0.04308003932237625, 0.026268839836120605], [0.0256215650588274, 0.016924813389778137]]","[[0.11382795870304108, 0.14493043720722198], [0.08291906863451004, 0.14702793955802917]]"
"(9.961252441012821, 105.51872115642072)",Rice,"[[0.028272613883018494, 0.022927582263946533], [0.03066973201930523, 0.03255179524421692]]","[[0.0332467295229435, 0.033973053097724915], [0.05973319336771965, 0.034998126327991486]]"
"(9.984418111325482, 105.50918235099826)",Rice,"[[0.02612726017832756, 0.03621599078178406], [0.021512363106012344, 0.03678299859166145]]","[[0.07776373624801636, 0.11447098106145859], [0.09701719880104065, 0.12401069700717926]]"
"(9.955347466227241, 105.52598881769495)",Rice,"[[0.027093883603811264, 0.038129400461912155, 0.02606326714158058], [0.028249751776456833, 0.052462559193372726, 0.037378404289484024]]","[[0.03646562248468399, 0.03364617004990578, 0.03629152849316597], [0.02409156784415245, 0.032446619123220444, 0.0400855615735054]]"
"(9.97987582302888, 105.54052414024343)",Rice,"[[0.021420523524284363, 0.028216978535056114], [0.01917642541229725, 0.02548612281680107]]","[[0.09385327994823456, 0.10156811773777008], [0.08611445128917694, 0.07117721438407898]]"
"(9.958527068034861, 105.52462613120602)",Rice,"[[0.03298919275403023, 0.03018915466964245, 0.03279232233762741], [0.0247451514005661, 0.01850222982466221, 0.015386377461254597]]","[[0.06055803224444389, 0.08499294519424438, 0.09616066515445709], [0.04031078517436981, 0.07704394310712814, 0.11462229490280151]]"
"(9.985326568984801, 105.53416493662849)",Rice,"[[0.022562561556696892, 0.033758506178855896], [0.015318401157855988, 0.022914567962288857]]","[[0.1198437288403511, 0.1287214308977127], [0.10638494044542313, 0.09306890517473221]]"
"(9.987597713133102, 105.52553458886531)",Rice,"[[0.035569146275520325, 0.03258855640888214], [0.030541149899363518, 0.04635370522737503]]","[[0.023275993764400482, 0.08213233947753906], [0.08658083528280258, 0.14169353246688843]]"
"(9.978967365369561, 105.52553458886531)",Rice,"[[0.015323263593018055, 0.01792789436876774], [0.02870830148458481, 0.030097443610429764]]","[[0.048112791031599045, 0.06391094624996185], [0.09918659180402756, 0.1013040840625763]]"
"(9.977604678880581, 105.4878335960052)",Rice,"[[0.025396300479769707, 0.022567078471183777], [0.02323460765182972, 0.019974639639258385]]","[[0.09701605141162872, 0.14401981234550476], [0.05221123993396759, 0.09477277845144272]]"
"(9.974879305902622, 105.52371767354674)",Rice,"[[0.037035826593637466, 0.04347578436136246], [0.03559654951095581, 0.04111868888139725]]","[[0.15129083395004272, 0.11586642265319824], [0.11966270208358765, 0.08961512893438339]]"
"(9.994865374407661, 105.51099926631684)",Rice,"[[0.013797998428344727, 0.016475699841976166, 0.017077503725886345], [0.012214476242661476, 0.017232641577720642, 0.02255895547568798]]","[[0.06928526610136032, 0.10257076472043991, 0.1451616883277893], [0.08723609894514084, 0.13147912919521332, 0.2093725949525833]]"
"(9.977604678880581, 105.53825299609522)",Rice,"[[0.020639808848500252, 0.03207194060087204, 0.029379399493336678], [0.024905391037464142, 0.03971657529473305, 0.04461056739091873]]","[[0.054867640137672424, 0.0473160557448864, 0.06767415255308151], [0.06528137624263763, 0.06429740786552429, 0.10701364278793335]]"
"(9.97351661941364, 105.54279528439164)",Rice,"[[0.024547019973397255, 0.018457401543855667], [0.024207821115851402, 0.017495812848210335]]","[[0.04599859192967415, 0.05230269208550453], [0.05811537802219391, 0.05567968636751175]]"
"(9.99577383206698, 105.50554852036115)",Rice,"[[0.02702786959707737, 0.018002791330218315], [0.028606459498405457, 0.013736337423324585]]","[[0.16617606580257416, 0.20904166996479034], [0.15244755148887634, 0.12357112020254135]]"
"(9.974879305902622, 105.48647090951627)",Rice,"[[0.04000188037753105, 0.029882825911045074], [0.033418335020542145, 0.022071339190006256]]","[[0.11301145702600479, 0.048371102660894394], [0.12150925397872925, 0.06455578655004501]]"
"(9.9671574157984, 105.52326344471712)",Rice,"[[0.038116034120321274, 0.0583639070391655], [0.054889265447854996, 0.049701493233442307]]","[[0.04891551658511162, 0.034000903367996216], [0.08655905723571777, 0.060337405651807785]]"
"(9.980784280688201, 105.5264430465246)",Rice,"[[0.018346460536122322, 0.020209500566124916], [0.03754953294992447, 0.0351911261677742]]","[[0.048715922981500626, 0.04440467804670334], [0.04590105637907982, 0.04669750854372978]]"
"(9.964432042820441, 105.4991893167462)",Rice,"[[0.013065587729215622, 0.020252477377653122], [0.014791781082749367, 0.021809697151184082]]","[[0.08266760408878326, 0.06608694791793823], [0.0684952363371849, 0.07200363278388977]]"
"(9.981238509517862, 105.5060027491908",Rice,"[[0.0399942621588707, 0.04547638073563576], [0.032480016350746155, 0.03385894373059273]]","[[0.05315973609685898, 0.10543787479400635], [0.056950002908706665, 0.08847983181476593]]"
"(9.98805194196276, 105.50554852036115)",Rice,"[[0.032500702887773514, 0.028712963685393333], [0.03226269781589508, 0.033338762819767]]","[[0.10572031140327454, 0.13948357105255127], [0.13178570568561554, 0.13311150670051575]]"
"(9.986689255473781, 105.49146742664232)",Rice,"[[0.02949363738298416, 0.03559991344809532], [0.021883215755224228, 0.028904655948281288]]","[[0.11321448534727097, 0.07835356891155243], [0.21039585769176483, 0.20536869764328003]]"
"(9.969428559946701, 105.49737240142764)",Rice,"[[0.02632788009941578, 0.032767899334430695], [0.031642504036426544, 0.046104010194540024]]","[[0.15553200244903564, 0.14121876657009125], [0.1517200917005539, 0.12378737330436707]]"
"(9.987597713133102, 105.50009777440548)",Rice,"[[0.019133327528834343, 0.04803873598575592], [0.019871007651090622, 0.03551473468542099]]","[[0.09628210216760635, 0.06721040606498718], [0.06449277698993683, 0.06490613520145416]]"
"(9.977150450050921, 105.54279528439164)",Rice,"[[0.037194233387708664, 0.049409203231334686], [0.043197885155677795, 0.05167366564273834], [0.042553968727588654, 0.05982013791799545]]","[[0.06425952166318893, 0.09472388029098511], [0.09711644053459167, 0.10258600860834122], [0.09881354868412018, 0.10749511420726776]]"
"(9.973062390583982, 105.49101319781266)",Rice,"[[0.03760938718914986, 0.05153858661651611], [0.03291363641619682, 0.05091077461838722]]","[[0.047592900693416595, 0.0457867756485939], [0.06452442705631256, 0.048898059874773026]]"
"(9.952167864419621, 105.52190075822818)",Rice,"[[0.055046871304512024, 0.07800935208797455], [0.040943313390016556, 0.063804030418396]]","[[0.10109590739011765, 0.1271698921918869], [0.10713882744312286, 0.1250380575656891]]"
"(9.985326568984801, 105.49782663025726)",Rice,"[[0.022544139996170998, 0.02768857590854168], [0.015440227463841438, 0.011403119191527367]]","[[0.07546710222959518, 0.09174778312444687], [0.10124439001083374, 0.11615687608718872]]"
"(9.976241992391602, 105.48647090951627)",Rice,"[[0.014135520905256271, 0.01686815358698368], [0.011928771622478962, 0.015146346762776375], [0.01270662248134613, 0.013459333218634129]]","[[0.09201210737228394, 0.17112106084823608], [0.11907602846622467, 0.2598566710948944], [0.13623502850532532, 0.24356867372989655]]"
"(9.979421594199222, 105.49555548610908)",Rice,"[[0.02935084141790867, 0.023263826966285706, 0.03036142885684967], [0.03292480856180191, 0.03198879584670067, 0.030820617452263832]]","[[0.06522712111473083, 0.09239456057548523, 0.08886709809303284], [0.07250011712312698, 0.09082930535078049, 0.14442326128482819]]"
"(9.984418111325482, 105.54506642853983)",Rice,"[[0.04887746274471283, 0.03356325253844261], [0.054210156202316284, 0.03317954018712044]]","[[0.04123777151107788, 0.035447537899017334], [0.05779301002621651, 0.06109148636460304]]"
"(9.972608161754321, 105.53734453843595)",Rice,"[[0.03600555285811424, 0.02476658672094345], [0.02305028587579727, 0.021032705903053284]]","[[0.06232266500592232, 0.05209687724709511], [0.10742796957492828, 0.11177853494882584]]"
"(9.980784280688201, 105.49646394376836)",Rice,"[[0.027893735095858574, 0.024578150361776352], [0.024185635149478912, 0.023251699283719063]]","[[0.0924135223031044, 0.07560718059539795], [0.06923633813858032, 0.03197015821933746]]"
"(9.98487234015514, 105.50146046089439)",Rice,"[[0.03691680356860161, 0.030026940628886223], [0.026204802095890045, 0.028297141194343567]]","[[0.07998108863830566, 0.11724381893873215], [0.08938325196504593, 0.08983486145734787]]"
"(9.961252441012821, 105.52598881769495)",Rice,"[[0.03079579770565033, 0.031247569248080254], [0.02482583373785019, 0.0252889022231102]]","[[0.06774722784757614, 0.09977056831121445], [0.061374470591545105, 0.08665744215250015]]"
"(9.94989672027132, 105.51826692759107)",Rice,"[[0.02965603955090046, 0.030309395864605904], [0.030448617413640022, 0.029871324077248573]]","[[0.0794706642627716, 0.07912065833806992], [0.07140180468559265, 0.08109224587678909]]"
"(9.98941462845174, 105.50827389333898)",Rice,"[[0.029766865074634552, 0.023529067635536194], [0.05198569968342781, 0.03825713321566582], [0.061538055539131165, 0.04401101917028427]]","[[0.15050949156284332, 0.17282266914844513], [0.14583860337734222, 0.16704729199409485], [0.11068835109472275, 0.11946643888950348]]"
"(9.97533353473228, 105.48556245185699)",Rice,"[[0.031239701434969902, 0.03665492311120033], [0.02592693641781807, 0.033992622047662735]]","[[0.07285751402378082, 0.11491163820028305], [0.07872330397367477, 0.1414516568183899]]"
"(9.9830554248365, 105.53870722492488)",Rice,"[[0.02465706877410412, 0.02285151183605194], [0.01944555714726448, 0.018463538959622383]]","[[0.16227604448795319, 0.1414809376001358], [0.12071947008371353, 0.11014458537101746]]"
"(9.98805194196276, 105.5377987672656)",Rice,"[[0.030009113252162933, 0.03743697702884674], [0.01969493366777897, 0.024409739300608635]]","[[0.13115888833999634, 0.10231057554483414], [0.1344842165708542, 0.13343122601509094]]"
"(9.982146967177181, 105.49646394376836)",Rice,"[[0.0447879359126091, 0.05186464637517929], [0.0395992174744606, 0.03561979904770851]]","[[0.14851610362529755, 0.1269865185022354], [0.12936975061893463, 0.09267181158065796]]"
"(9.986689255473781, 105.50373160504259)",Rice,"[[0.035928498953580856, 0.06396698206663132], [0.029318297281861305, 0.04431767761707306]]","[[0.04857245460152626, 0.053928084671497345], [0.04944205656647682, 0.04256331920623779]]"
"(9.994411145578, 105.51781269876145)",Rice,"[[0.025588564574718475, 0.024660706520080566], [0.03865818306803703, 0.02677294984459877]]","[[0.09932079911231995, 0.11638081818819046], [0.11942565441131592, 0.11099398881196976]]"
"(9.982601196006842, 105.50327737621296)",Rice,"[[0.053769052028656006, 0.034319326281547546], [0.043908800929784775, 0.030994651839137077]]","[[0.04733247309923172, 0.06660919636487961], [0.04236575961112976, 0.06821112334728241]]"
"(9.978967365369561, 105.50418583387224)",Rice,"[[0.040543731302022934, 0.037826307117938995], [0.026298077777028084, 0.037889014929533005]]","[[0.055407050997018814, 0.058988019824028015], [0.07745039463043213, 0.08354145288467407]]"
"(10.001224578022901, 105.50464006270187)",Rice,"[[0.030151354148983955, 0.01951208896934986], [0.021177897229790688, 0.010951993055641651]]","[[0.11748971790075302, 0.11571184545755386], [0.1221180334687233, 0.1482369601726532]]"
"(9.96897433111704, 105.52371767354674)",Rice,"[[0.037748876959085464, 0.024800464510917664], [0.04506684094667435, 0.028810059651732445]]","[[0.06642463058233261, 0.05652901157736778], [0.08262710273265839, 0.08345590531826019]]"
"(9.950805177930642, 105.52008384290963)",Rice,"[[0.07468575239181519, 0.047854796051979065], [0.058026690036058426, 0.0627661645412445]]","[[0.05846358463168144, 0.054912012070417404], [0.1030748188495636, 0.08257678896188736]]"
"(9.98941462845174, 105.4991893167462)",Rice,"[[0.04462641850113869, 0.03816305845975876], [0.04999396204948425, 0.04570788890123367]]","[[0.08549068868160248, 0.1359834522008896], [0.15161997079849243, 0.16563785076141357]]"
"(9.97351661941364, 105.53643608077667)",Rice,"[[0.04331205412745476, 0.026795148849487305], [0.04881521314382553, 0.03029695525765419]]","[[0.08108112215995789, 0.08154381811618805], [0.1036946177482605, 0.10228454321622849]]"
"(9.97533353473228, 105.52144652939856)",Rice,"[[0.028338158503174782, 0.03351758420467377], [0.02399812452495098, 0.026989666745066643]]","[[0.07953371107578278, 0.07298421114683151], [0.058463990688323975, 0.06092486158013344]]"
"(9.9671574157984, 105.49373857079053)",Rice,"[[0.029247652739286423, 0.029707305133342743], [0.03002459928393364, 0.028311394155025482]]","[[0.037794049829244614, 0.0640750378370285], [0.04041469842195511, 0.053144365549087524]]"
"(9.967611644628061, 105.50827389333898)",Rice,"[[0.015487789176404476, 0.016088413074612617], [0.013341382145881653, 0.011618551798164845]]","[[0.01713031716644764, 0.014875305816531181], [0.02943987026810646, 0.028137797489762306]]"
"(9.982601196006842, 105.51690424110214)",Rice,"[[0.01834784261882305, 0.018886448815464973], [0.026960857212543488, 0.025157025083899498]]","[[0.0791143849492073, 0.07705014199018478], [0.12403524667024612, 0.1341570019721985]]"
"(9.9830554248365, 105.53825299609522)",Rice,"[[0.03623264282941818, 0.035412147641181946], [0.03179200738668442, 0.0318499431014061]]","[[0.052160780876874924, 0.043483782559633255], [0.020710138604044914, 0.04133198782801628]]"
"(9.968520102287382, 105.4946470284498)",Rice,"[[0.016531050205230713, 0.033924948424100876], [0.00970896054059267, 0.018207741901278496]]","[[0.030088240280747414, 0.046773094683885574], [0.024951081722974777, 0.04458669200539589]]"
"(9.974425077072961, 105.50645697802042)",Rice,"[[0.039730917662382126, 0.05373096093535423], [0.05452311784029007, 0.0783596783876419]]","[[0.13276325166225433, 0.16572879254817963], [0.10929244756698608, 0.16584812104701996]]"
"(9.96397781399078, 105.52371767354674)",Rice,"[[0.05883333832025528, 0.052686404436826706], [0.05529845505952835, 0.05517341196537018], [0.03888564556837082, 0.043776918202638626]]","[[0.1600073277950287, 0.1673213690519333], [0.14114053547382355, 0.1404482126235962], [0.13174228370189667, 0.09005886316299438]]"
"(9.991685772600041, 105.51645001227251)",Rice,"[[0.04874163120985031, 0.03484313562512398], [0.05765167251229286, 0.04350221902132034]]","[[0.16454164683818817, 0.12284339964389801], [0.13310740888118744, 0.10855911672115326]]"
"(9.985780797814462, 105.50872812216863)",Rice,"[[0.05260637030005455, 0.04184814915060997], [0.04525226727128029, 0.03794042766094208]]","[[0.12838099896907806, 0.12744103372097015], [0.05718359351158142, 0.06958146393299103]]"
"(9.981238509517862, 105.50373160504259)",Rice,"[[0.03001530095934868, 0.045804213732481], [0.033180974423885345, 0.030293449759483337]]","[[0.06335831433534622, 0.1356755495071411], [0.1131259873509407, 0.17924459278583527]]"
"(9.971699704095002, 105.4923758843016)",Rice,"[[0.019518675282597542, 0.02009540982544422], [0.017850259318947792, 0.02537860907614231]]","[[0.054899800568819046, 0.08679403364658356], [0.06673642247915268, 0.08595364540815353]]"
"(9.95307632207894, 105.51599578344286)",Rice,"[[0.05272000655531883, 0.02278090827167034], [0.044994186609983444, 0.022535935044288635]]","[[0.040541872382164, 0.020149068906903267], [0.05796859413385391, 0.04033360257744789]]"
"(9.97987582302888, 105.51554155461324)",Rice,"[[0.012102584354579449, 0.016832182183861732, 0.01900804229080677], [0.015993768349289894, 0.027492478489875793, 0.03260791674256325]]","[[0.10078005492687225, 0.09584873169660568, 0.09570439904928207], [0.09737209230661392, 0.14005886018276215, 0.14512954652309418]]"
"(10.481616988271316, 104.91150805695796)",Non Rice,"[[0.04973681643605232, 0.03835379704833031], [0.07589615136384964, 0.04097714275121689]]","[[0.07321108132600784, 0.1353590190410614], [0.12043081223964691, 0.167909175157547]]"
"(10.481162759441657, 104.91150805695796)",Non Rice,"[[0.033536940813064575, 0.04141687974333763], [0.028285937383770943, 0.03876390680670738]]","[[0.17284256219863892, 0.17610140144824982], [0.15852177143096924, 0.14273548126220703]]"
"(10.480708530611997, 104.91150805695796)",Non Rice,"[[0.052228063344955444, 0.05871932953596115], [0.07604499906301498, 0.07947120815515518]]","[[0.14943945407867432, 0.18583163619041443], [0.15544754266738892, 0.1907118409872055]]"
"(10.480254301782336, 104.91150805695796)",Non Rice,"[[0.09726649522781372, 0.08104688674211502], [0.0811631977558136, 0.07828675955533981]]","[[0.2947879433631897, 0.34924787282943726], [0.5094338059425354, 0.5633273720741272]]"
"(10.479800072952678, 104.91150805695796)",Non Rice,"[[0.11095099151134491, 0.09964048117399216], [0.06142459064722061, 0.06856051832437515]]","[[0.6418191194534302, 0.46982818841934204], [0.7000783085823059, 0.5874550342559814]]"
"(10.479345844123017, 104.91150805695796)",Non Rice,"[[0.07545866817235947, 0.05743790790438652], [0.06630638241767883, 0.058780234307050705]]","[[0.1686217486858368, 0.25590991973876953], [0.3872836232185364, 0.13763177394866943]]"
"(10.478891615293357, 104.91150805695796)",Non Rice,"[[0.05200783163309097, 0.04587571322917938], [0.07768337428569794, 0.06120859086513519]]","[[0.17566172778606415, 0.10006818175315857], [0.24775594472885132, 0.1750592738389969]]"
"(10.478437386463696, 104.91150805695796)",Non Rice,"[[0.04950447380542755, 0.07233535498380661], [0.060055650770664215, 0.10234381258487701]]","[[0.21518363058567047, 0.19545932114124298], [0.1407402753829956, 0.16355445981025696]]"
"(10.477983157634037, 104.91150805695796)",Non Rice,"[[0.07161760330200195, 0.049126677215099335], [0.06123228371143341, 0.04345659539103508]]","[[0.21626757085323334, 0.2123601883649826], [0.2602604925632477, 0.28237399458885193]]"
"(10.477528928804377, 104.91150805695796)",Non Rice,"[[0.030764970928430557, 0.019621027633547783], [0.030837250873446465, 0.03756701946258545]]","[[0.19310659170150757, 0.1807950735092163], [0.25686684250831604, 0.24907809495925903]]"
"(10.477074699974716, 104.91150805695796)",Non Rice,"[[0.03624898940324783, 0.045658208429813385], [0.031860530376434326, 0.03723003715276718]]","[[0.06453147530555725, 0.09642305225133896], [0.131456658244133, 0.1455485224723816]]"
"(10.476620471145058, 104.91150805695796)",Non Rice,"[[0.06489014625549316, 0.04817330837249756], [0.07897710055112839, 0.05799638852477074]]","[[0.12005636841058731, 0.16040454804897308], [0.13808168470859528, 0.1636843979358673]]"
"(10.476166242315397, 104.91150805695796)",Non Rice,"[[0.057638075202703476, 0.032304368913173676], [0.0825345367193222, 0.04499530419707298]]","[[0.441584050655365, 0.22418341040611267], [0.4427196681499481, 0.09065897762775421]]"
"(10.475712013485737, 104.91150805695796)",Non Rice,"[[0.09824486821889877, 0.07912074774503708], [0.10635925084352493, 0.09628381580114365]]","[[0.20787587761878967, 0.20213578641414642], [0.32023799419403076, 0.464450865983963]]"
"(10.475257784656076, 104.91150805695796)",Non Rice,"[[0.11661458760499954, 0.14124514162540436], [0.07543330639600754, 0.08917871862649918]]","[[0.711513876914978, 0.88454270362854], [0.4576762020587921, 0.6835954189300537]]"
"(10.474803555826417, 104.91150805695796)",Non Rice,"[[0.012553918175399303, 0.02351371757686138], [0.020090291276574135, 0.022174999117851257]]","[[0.09007516503334045, 0.08059792965650558], [0.16892626881599426, 0.14687591791152954]]"
"(10.474349326996757, 104.91150805695796)",Non Rice,"[[0.08205465227365494, 0.08748337626457214], [0.14535963535308838, 0.17730803787708282]]","[[0.14785023033618927, 0.19764862954616547], [0.3139092028141022, 0.3308604657649994]]"
"(10.473895098167096, 104.91150805695796)",Non Rice,"[[0.08771192282438278, 0.07657349109649658], [0.1671268790960312, 0.16482704877853394]]","[[0.5930869579315186, 0.381784588098526], [0.5878651738166809, 0.38384997844696045]]"
"(10.473440869337438, 104.91150805695796)",Non Rice,"[[0.1177758276462555, 0.10807450115680695], [0.12197937071323395, 0.11784394085407257]]","[[0.3887144923210144, 0.41800880432128906], [0.47793281078338623, 0.43825438618659973]]"
"(10.472986640507777, 104.91150805695796)",Non Rice,"[[0.051871445029973984, 0.06332962960004807], [0.03778381273150444, 0.06361956894397736]]","[[0.5398285388946533, 0.3599635660648346], [0.37863844633102417, 0.30163905024528503]]"
"(10.472532411678117, 104.91150805695796)",Non Rice,"[[0.10120361298322678, 0.07185819000005722], [0.115110844373703, 0.08111423254013062]]","[[0.4279823899269104, 0.4413910508155823], [0.29875338077545166, 0.28321573138237]]"
"(10.472078182848456, 104.91150805695796)",Non Rice,"[[0.07239753752946854, 0.06966963410377502], [0.06147495657205582, 0.05415351316332817]]","[[0.4431883990764618, 0.36804699897766113], [0.49129700660705566, 0.4396819472312927]]"
"(10.471623954018797, 104.91150805695796)",Non Rice,"[[0.04803991690278053, 0.062070075422525406], [0.05780520290136337, 0.08453020453453064]]","[[0.363687127828598, 0.26819443702697754], [0.3565743565559387, 0.33125194907188416]]"
"(10.481616988271316, 104.91196228578761)",Non Rice,"[[0.05097252130508423, 0.05612969025969505], [0.05512373521924019, 0.0572672002017498]]","[[0.11470922827720642, 0.1583959013223648], [0.16259542107582092, 0.19470937550067902]]"
"(10.481162759441657, 104.91196228578761)",Non Rice,"[[0.04956671595573425, 0.05162018537521362], [0.103416308760643, 0.10556233674287796]]","[[0.1676623672246933, 0.22060570120811462], [0.22262993454933167, 0.3122985064983368]]"
"(10.480708530611997, 104.91196228578761)",Non Rice,"[[0.06126575544476509, 0.06274555623531342], [0.06140141189098358, 0.06632931530475616]]","[[0.3040045499801636, 0.20000159740447998], [0.37004610896110535, 0.26438573002815247]]"
"(10.480254301782336, 104.91196228578761)",Non Rice,"[[0.035070277750492096, 0.022092541679739952], [0.09071190655231476, 0.048163291066884995]]","[[0.3250662088394165, 0.22998882830142975], [0.3992611765861511, 0.292563796043396]]"
"(10.479800072952678, 104.91196228578761)",Non Rice,"[[0.04023846611380577, 0.06089596822857857], [0.06821198761463165, 0.09790922701358795]]","[[0.25814223289489746, 0.2543846368789673], [0.4227319359779358, 0.3980633318424225]]"
"(10.479345844123017, 104.91196228578761)",Non Rice,"[[0.024692095816135406, 0.038744062185287476], [0.04056921601295471, 0.0514880008995533]]","[[0.138310506939888, 0.15001016855239868], [0.1415383517742157, 0.1450178474187851]]"
"(10.478891615293357, 104.91196228578761)",Non Rice,"[[0.09663259238004684, 0.10466720163822174], [0.0348055362701416, 0.03663303330540657]]","[[0.12906642258167267, 0.14812792837619781], [0.0943208634853363, 0.09537366777658463]]"
"(10.478437386463696, 104.91196228578761)",Non Rice,"[[0.02534906566143036, 0.03827539458870888], [0.018128011375665665, 0.03582770749926567]]","[[0.1590670645236969, 0.18908847868442535], [0.20550835132598877, 0.20096373558044434]]"
"(10.477983157634037, 104.91196228578761)",Non Rice,"[[0.02987854927778244, 0.045490629971027374], [0.03676917776465416, 0.045590031892061234]]","[[0.06028113514184952, 0.08514166623353958], [0.12588590383529663, 0.14462292194366455]]"
"(10.477528928804377, 104.91196228578761)",Non Rice,"[[0.039651401340961456, 0.04881162941455841], [0.039264529943466187, 0.036919403821229935]]","[[0.29348284006118774, 0.16527770459651947], [0.2486766129732132, 0.16081096231937408]]"
"(10.477074699974716, 104.91196228578761)",Non Rice,"[[0.05226634442806244, 0.049849800765514374], [0.07020865380764008, 0.08159458637237549]]","[[0.3792016804218292, 0.3616698682308197], [0.4155075252056122, 0.4364607334136963]]"
"(10.476620471145058, 104.91196228578761)",Non Rice,"[[0.044408395886421204, 0.03857262060046196], [0.05870647355914116, 0.04026053473353386]]","[[0.3830904960632324, 0.42577195167541504], [0.22450211644172668, 0.3232584595680237]]"
"(10.476166242315397, 104.91196228578761)",Non Rice,"[[0.05426788330078125, 0.07787016034126282], [0.05856587737798691, 0.06351222842931747]]","[[0.325819730758667, 0.28795331716537476], [0.21346841752529144, 0.22218599915504456]]"
"(10.475712013485737, 104.91196228578761)",Non Rice,"[[0.10355130583047867, 0.08546686917543411], [0.08328720927238464, 0.06568154692649841]]","[[0.15246103703975677, 0.14138324558734894], [0.19756567478179932, 0.13045735657215118]]"
"(10.475257784656076, 104.91196228578761)",Non Rice,"[[0.05057767406105995, 0.04853713512420654], [0.033339131623506546, 0.024309109896421432]]","[[0.18175557255744934, 0.13392730057239532], [0.18505530059337616, 0.17377370595932007]]"
"(10.474803555826417, 104.91196228578761)",Non Rice,"[[0.06290830671787262, 0.06062459200620651], [0.0381629653275013, 0.04229078069329262]]","[[0.14535415172576904, 0.18009938299655914], [0.12464245408773422, 0.1490362286567688]]"
"(10.474349326996757, 104.91196228578761)",Non Rice,"[[0.06457217037677765, 0.08390308171510696], [0.028287313878536224, 0.05006140470504761]]","[[0.2203168123960495, 0.18065381050109863], [0.2655128836631775, 0.22636593878269196]]"
"(10.473895098167096, 104.91196228578761)",Non Rice,"[[0.027832621708512306, 0.02877229079604149], [0.050444096326828, 0.036546170711517334]]","[[0.19540835916996002, 0.1738429069519043], [0.20210227370262146, 0.23019306361675262]]"
"(10.473440869337438, 104.91196228578761)",Non Rice,"[[0.015393520705401897, 0.025967873632907867], [0.021540652960538864, 0.025448201224207878]]","[[0.08433994650840759, 0.274807870388031], [0.11375920474529266, 0.0766073539853096]]"
"(10.472986640507777, 104.91196228578761)",Non Rice,"[[0.052437834441661835, 0.0379277840256691], [0.047980573028326035, 0.03538098931312561]]","[[0.05856955051422119, 0.04229284077882767], [0.10037935525178909, 0.08606281876564026]]"
"(10.472532411678117, 104.91196228578761)",Non Rice,"[[0.05177246406674385, 0.05373520404100418], [0.01889888010919094, 0.017714790999889374]]","[[0.07931728661060333, 0.049103934317827225], [0.19283901154994965, 0.12073107063770294]]"
"(10.472078182848456, 104.91196228578761)",Non Rice,"[[0.11962401866912842, 0.13187646865844727], [0.09901373088359833, 0.12377655506134033]]","[[0.2520023286342621, 0.2642384171485901], [0.3946342170238495, 0.428379088640213]]"
"(10.471623954018797, 104.91196228578761)",Non Rice,"[[0.12075921893119812, 0.11224162578582764], [0.09201786667108536, 0.08002131432294846]]","[[0.20302700996398926, 0.20349393784999847], [0.12720049917697906, 0.11042273044586182]]"
"(10.471169725189137, 104.91196228578761)",Non Rice,"[[0.1379532516002655, 0.13614583015441895], [0.07355844974517822, 0.05911518260836601]]","[[0.2300051599740982, 0.2412460744380951], [0.42224735021591187, 0.48864760994911194]]"
